country,year,variety,variety_area_ha,grape_color,grape_yield_tonnes_per_ha,estimated_variety_production_tons
Argentina,2010,Chardonnay,6583.836499999999,white,11.3,74397.35244999999
Argentina,2010,Chenin Blanc,2850.5778,white,11.3,32211.529140000002
Argentina,2010,Cinsaut,5.9485,red,11.3,67.21805
Argentina,2010,Corvina Veronese,18.7775,red,11.3,212.18575
Argentina,2010,Corvinone,0.7,red,11.3,7.91
Argentina,2010,Criolla Grande,20744.8013,red,11.3,234416.25469
Argentina,2010,Criolla Mediana,3.49,red,11.3,39.437000000000005
Argentina,2010,Croatina,15.3462,red,11.3,173.41206
Argentina,2010,Côt,28543.1155,red,11.3,322537.20515
Argentina,2010,Damaschino,673.6202999999999,white,11.3,7611.90939
Argentina,2010,Dolcetto,6.2497,red,11.3,70.62161
Argentina,2010,Douce Noire,18775.4493,red,11.3,212162.57709
Argentina,2010,Ekigaina,0.95,red,11.3,10.735
Argentina,2010,Fer,262.70300000000003,red,11.3,2968.5439000000006
Argentina,2010,Ferral,30.4083,red,11.3,343.61379000000005
Argentina,2010,Fintendo,118.1123,red,11.3,1334.6689900000001
Argentina,2010,Freisa,12.199399999999999,red,11.3,137.85322
Argentina,2010,Gamay Noir,1.6375000000000002,red,11.3,18.503750000000004
Argentina,2010,Garganega,21.313699999999997,white,11.3,240.84481
Argentina,2010,Gargiulo 14260,1.0,red,11.3,11.3
Argentina,2010,Gargiulo 2539,48.834,red,11.3,551.8242
Argentina,2010,Gargiulo 26879,2.5,white,11.3,28.25
Argentina,2010,Gargiulo 4113,6.105,red,11.3,68.9865
Argentina,2010,Gargiulo 45803,8.1,white,11.3,91.53
Argentina,2010,Garnacha Tinta,21.8762,red,11.3,247.20106
Argentina,2010,Gibi,1073.8209,white,11.3,12134.17617
Argentina,2010,Graciano,29.412,red,11.3,332.35560000000004
Argentina,2010,Grand Noir,2.06,red,11.3,23.278000000000002
Argentina,2010,Greco,0.25,white,11.3,2.825
Argentina,2010,Greco Nero,429.0517,red,11.3,4848.28421
Argentina,2010,Italia,192.1706,white,11.3,2171.5277800000003
Argentina,2010,Joubertin,1.439,red,11.3,16.2607
Argentina,2010,Lambrusco Grasparossa,8.1,red,11.3,91.53
Argentina,2010,Lambrusco Maestri,88.8729,red,11.3,1004.26377
Argentina,2010,Listán Prieto,844.8638,red,11.3,9546.96094
Argentina,2010,Macabeo,1.75,white,11.3,19.775000000000002
Argentina,2010,Malvasia,45.0382,white,11.3,508.9316600000001
Argentina,2010,Malvasia Nera di Brindisi,0.32,red,11.3,3.616
Argentina,2010,Marsanne,1.2465000000000002,white,11.3,14.085450000000003
Argentina,2010,Marselan,7.95,red,11.3,89.83500000000001
Argentina,2010,Maticha,311.1298,white,11.3,3515.76674
Argentina,2010,Mazuelo,30.4391,red,11.3,343.96183
Argentina,2010,Melon,1.0,white,11.3,11.3
Argentina,2010,Merlot,6952.828399999999,red,11.3,78566.96092
Argentina,2010,Molinara,0.6,red,11.3,6.78
Argentina,2010,Monastrell,0.7462,red,11.3,8.43206
Argentina,2010,Montepulciano,94.1726,red,11.3,1064.15038
Argentina,2010,Moscato Giallo,155.6004,white,11.3,1758.2845200000002
Argentina,2010,Muscat Blanc à Petits Grains,139.4793,white,11.3,1576.11609
Argentina,2010,Muscat Blanc à Petits Grains (G),8691.4622,white,11.3,98213.52286000001
Argentina,2010,Muscat of Alexandria,4035.4128,white,11.3,45600.16464
